## taxon_id	STRING_type	STRING_name_compact	official_name_NCBI	interaction_partners	color
1347368	periphery	Bacillus sp. FF3	Bacillus sp. FF3		#93B4AF
1347369	periphery	Bacillus sp. FF4	Bacillus sp. FF4		#93B4AF
1347392	core	Anaerosalibacter sp. ND1	Anaerosalibacter sp. ND1		#93B4AF
1347393	periphery	Bacteroidaceae bacterium MS4	Bacteroidaceae bacterium MS4		#93B4AF
1348114	core	Pseudoalteromonas sp. OCN003	Pseudoalteromonas sp. OCN003		#93B4AF
1348338	periphery	Leifsonia rubra CMS 76R	Leifsonia rubra		#93B4AF
1348583	periphery	Cellulophaga baltica 13	Cellulophaga baltica		#93B4AF
1348635	periphery	Vibrio diazotrophicus NBRC 103148	Vibrio diazotrophicus		#93B4AF
1348657	periphery	Thauera terpenica 58Eu	Thauera terpenica		#93B4AF
1348662	periphery	Corynebacterium argentoratense DSM 44202	Corynebacterium argentoratense		#93B4AF
1348663	periphery	Kitasatospora cheerisanensis KCTC 2395	Kitasatospora cheerisanensis		#93B4AF
1348908	periphery	Bacillus megaterium MSP20.1	Bacillus megaterium MSP201		#93B4AF
1349767	periphery	Janthinobacterium agaricidamnosum NBRC 102515 = DSM 9628	Janthinobacterium agaricidamnosum		#93B4AF
1349785	periphery	Tenacibaculum maritimum NBRC 15946	Tenacibaculum maritimum		#93B4AF
1349820	periphery	Arthrobacter sp. AK-YN10	Arthrobacter sp. AKYN10		#93B4AF
1349822	core	Coprobacter fastidiosus NSB1	Coprobacter fastidiosus		#93B4AF
1352941	periphery	Streptomyces niveus NCIMB 11891	Streptomyces niveus		#93B4AF
1353276	core	Olleya marilimosa CAM030	Olleya marilimosa		#93B4AF
1353528	periphery	Thioclava sp. DT23-4	Thioclava sp. DT234		#93B4AF
1353529	periphery	Bacteriovorax sp. BSW11_IV	Bacteriovorax sp. BSW11IV		#93B4AF
1353531	periphery	Ensifer sp. TW10	Ensifer sp. TW10		#93B4AF
1353537	core	Thioclava pacifica DSM 10166	Thioclava pacifica		#93B4AF
1354300	core	Peptoniphilus sp. ChDC B134	Peptoniphilus sp. ChDC		#93B4AF
1354303	periphery	Psychrobacter aquaticus CMS 56	Psychrobacter aquaticus		#93B4AF
1354314	periphery	Cardinium endosymbiont cBtQ1 of Bemisia tabaci	Cardinium endosymbiont cBtQ1		#93B4AF
1354722	periphery	Roseovarius sp. MCTG156(2b)	Roseovarius sp. MCTG156		#93B4AF
1355368	periphery	Arcobacter sp. AF1028	Arcobacter sp. AF1028		#93B4AF
1355374	periphery	Arcobacter sp. AF1440	Arcobacter sp. AF1440		#93B4AF
1356852	core	Hymenobacter sp. APR13	Hymenobacter sp. APR13		#93B4AF
1356854	periphery	Alicyclobacillus acidoterrestris ATCC 49025	Alicyclobacillus acidoterrestris		#93B4AF
1357272	periphery	Pseudomonas syringae CC1417	Pseudomonas syringae CC1417		#93B4AF
1357275	periphery	Pseudomonas syringae CC1513	Pseudomonas syringae CC1513		#93B4AF
1357279	periphery	Pseudomonas syringae CC1557	Pseudomonas syringae CC1557		#93B4AF
1357399	periphery	Helicobacter canis NCTC 12740	Helicobacter canis		#93B4AF
1357400	periphery	Helicobacter macacae MIT 99-5501	Helicobacter macacae		#93B4AF
1358423	periphery	Sphingobacterium antarcticus 4BY	Sphingobacterium antarcticus		#93B4AF
1365176	periphery	Thermofilum sp. 1910b	Thermofilum sp. 1910b		#93B4AF
1366046	core	Rhodobacteraceae bacterium HIMB11	Rhodobacteraceae bacterium HIMB11		#93B4AF
1366050	periphery	Ralstonia pickettii DTP0602	Ralstonia pickettii DTP0602		#93B4AF
1367491	periphery	Campylobacter coli 76339	Campylobacter coli 76339		#93B4AF
1367847	periphery	Paracoccus aminophilus JCM 7686	Paracoccus aminophilus		#93B4AF
1370120	periphery	Mycobacterium sp. UM_WGJ	Mycobacterium sp. UMWGJ		#93B4AF
1370121	periphery	Mycobacterium sp. UM_WWY	Mycobacterium sp. UMWWY		#93B4AF
1370122	periphery	Rhizobium undicola ORS 992 = ATCC 700741	Rhizobium undicola		#93B4AF
1370125	periphery	Mycobacterium iranicum UM_TJL	Mycobacterium iranicum		#93B4AF
1378168	periphery	Firmicutes bacterium ASF500	Firmicutes bacterium ASF500		#93B4AF
1379270	periphery	Gemmatimonas sp. AP64	Gemmatimonas sp. AP64		#93B4AF
1379281	periphery	Desulfonauticus sp. A7A	Desulfonauticus sp. A7A		#93B4AF
1379698	core	candidate division ZIXI bacterium RBG-1	candidate division ZIXI		#93B4AF
1379701	periphery	Sphingomonas sp. FUKUSWIS1	Sphingomonas sp. FUKUSWIS1		#93B4AF
1379858	periphery	Mucispirillum schaedleri ASF457	Mucispirillum schaedleri		#93B4AF
1380346	periphery	Streptomyces sp. URHA0041	Streptomyces sp. URHA0041		#93B4AF
1380347	periphery	Geodermatophilaceae bacterium URHB0048	Geodermatophilaceae bacterium URHB0048		#93B4AF
1380350	periphery	Mesorhizobium sp. URHC0008	Mesorhizobium sp. URHC0008		#93B4AF
1380354	periphery	Cellulomonas sp. URHE0023	Cellulomonas sp. URHE0023		#93B4AF
1380355	periphery	Bradyrhizobium sp. URHD0069	Bradyrhizobium sp. URHD0069		#93B4AF
1380356	periphery	Blastococcus sp. URHD0036	Blastococcus sp. URHD0036		#93B4AF
1380358	periphery	Halomonas sp. 23_GOM-1509m	Halomonas sp. 23GOM1509m		#93B4AF
1380367	core	Sulfitobacter sp. 20_GPM-1509m	Sulfitobacter sp. 20GPM1509m		#93B4AF
1380370	periphery	Intrasporangiaceae bacterium URHB0013	Intrasporangiaceae bacterium URHB0013		#93B4AF
1380380	periphery	Ahrensia sp. 13_GOM-1096m	Ahrensia sp. 13GOM1096m		#93B4AF
1380384	core	Tenacibaculum sp. 47A_GOM-205m	Tenacibaculum sp. 47AGOM205m		#93B4AF
1380386	periphery	Mycobacterium sp. URHB0044	Mycobacterium sp. URHB0044		#93B4AF
1380387	periphery	Alcanivorax sp. 43B_GOM-46m	Alcanivorax sp. 43BGOM46m		#93B4AF
1380390	periphery	Solirubrobacterales bacterium URHD0059	Solirubrobacterales bacterium URHD0059		#93B4AF
1380391	core	Dongia sp. URHE0060	Dongia sp. URHE0060		#93B4AF
1380393	core	Geodermatophilaceae bacterium URHA0031	Geodermatophilaceae bacterium URHA0031		#93B4AF
1380394	core	Rhodospirillales bacterium URHD0088	Rhodospirillales bacterium URHD0088		#93B4AF
1380408	periphery	Anoxybacillus flavithermus subsp. yunnanensis str. E13	Anoxybacillus flavithermus yunnanensis		#93B4AF
1380600	core	Flaviramulus ichthyoenteri Th78	Flaviramulus ichthyoenteri		#93B4AF
1380763	periphery	Paenibacillus darwinianus	Paenibacillus darwinianus		#93B4AF
1381123	periphery	Aliihoeflea sp. 2WW	Aliihoeflea sp. 2WW		#93B4AF
1381751	periphery	Brevibacterium sp. VCM10	Brevibacterium sp. VCM10		#93B4AF
1382230	periphery	Asaia platycodi SF2.1	Asaia platycodi SF21		#93B4AF
1382303	core	Caulobacteraceae bacterium PMMR1	Caulobacteraceae bacterium PMMR1		#93B4AF
1382304	periphery	Alicyclobacillus macrosporangiidus CPP55	Alicyclobacillus macrosporangiidus		#93B4AF
1382305	periphery	Sporosarcina sp. D27	Sporosarcina sp. D27		#93B4AF
1382306	periphery	Thermogemmatispora sp. PM5	Thermogemmatispora sp. PM5		#93B4AF
1382315	periphery	Geobacillus vulcani PSS1	Geobacillus vulcani		#93B4AF
1382356	periphery	Thermomicrobiales bacterium KI4	Thermomicrobiales bacterium KI4		#93B4AF
1382358	core	Anoxybacillus tepidamans PS2	Anoxybacillus tepidamans		#93B4AF
1382359	periphery	Acidobacterium sp. PMMR2	Acidobacterium sp. PMMR2		#93B4AF
1384049	periphery	Lysinibacillus manganicus DSM 26584	Lysinibacillus manganicus		#93B4AF
1384054	periphery	Arenimonas malthae CC-JY-1	Arenimonas malthae		#93B4AF
1384056	periphery	Arenimonas metalli CF5-1	Arenimonas metalli		#93B4AF
1384057	periphery	Lysinibacillus sinduriensis BLB-1 = JCM 15800	Lysinibacillus sinduriensis		#93B4AF
1384065	periphery	Ruminococcus albus AD2013	Ruminococcus albus AD2013		#93B4AF
1384066	periphery	Ruminococcus flavefaciens AE3010	Ruminococcus flavefaciens AE3010		#93B4AF
1384484	periphery	Adlercreutzia equolifaciens DSM 19450	Adlercreutzia equolifaciens		#93B4AF
1385420	periphery	Francisella sp. W12-1067	Francisella sp. W121067		#93B4AF
1385510	periphery	Pontibacillus halophilus JSM 076056 = DSM 19796	Pontibacillus halophilus		#93B4AF
1385511	core	Pontibacillus marinus BH030004 = DSM 16465	Pontibacillus marinus		#93B4AF
1385512	periphery	Pontibacillus litoralis JSM 072002	Pontibacillus litoralis		#93B4AF
1385513	periphery	Pontibacillus chungwhensis BH030062	Pontibacillus chungwhensis		#93B4AF
1385514	core	Pontibacillus yanchengensis Y32	Pontibacillus yanchengensis		#93B4AF
1385515	periphery	Lysobacter defluvii IMMIB APB-9 = DSM 18482	Lysobacter defluvii		#93B4AF
1385517	periphery	Lysobacter daejeonensis GH1-9	Lysobacter daejeonensis		#93B4AF
1385518	periphery	Knoellia flava TL1	Knoellia flava		#93B4AF
1385519	periphery	Knoellia aerolata DSM 18566	Knoellia aerolata		#93B4AF
1385520	periphery	Knoellia sinensis KCTC 19936	Knoellia sinensis		#93B4AF
1385521	periphery	Knoellia subterranea KCTC 19937	Knoellia subterranea		#93B4AF
1385935	periphery	Leptolyngbya sp. Heron Island J	Leptolyngbya sp. Heron		#93B4AF
1386089	periphery	Intrasporangium oryzae NRRL B-24470	Intrasporangium oryzae		#93B4AF
1386969	periphery	Gordonia amicalis CCMA-559	Gordonia amicalis		#93B4AF
1387197	periphery	Candidatus Schmidhempelia bombi str. Bimp	Schmidhempelia bombi		#93B4AF
1387312	periphery	Methylophilus sp. OH31	Methylophilus sp. OH31		#93B4AF
1388763	periphery	Pseudomonas mosselii SJ10	Pseudomonas mosselii		#93B4AF
1389489	periphery	Leifsonia xyli subsp. cynodontis DSM 46306	Leifsonia xyli cynodontis		#93B4AF
1390370	periphery	Pseudomonas mendocina EGD-AQ5	Pseudomonas mendocina EGDAQ5		#93B4AF
1391646	periphery	[Clostridium] bifermentans WYM	Clostridium bifermentans		#93B4AF
1391647	periphery	Clostridium sp. Ade.TY	Clostridium sp. AdeTY		#93B4AF
1392244	periphery	Pseudozyma brasiliensis	Pseudozyma brasiliensis		#93B4AF
1392486	periphery	Prevotella sp. HUN102	Prevotella sp. HUN102		#93B4AF
1392487	core	Eubacterium sp. AB3007	Eubacterium sp. AB3007		#93B4AF
1392488	periphery	Leeuwenhoekiella sp. Hel_I_48	Leeuwenhoekiella sp. HelI48		#93B4AF
1392489	periphery	Leeuwenhoekiella sp. MAR_2009_132	Leeuwenhoekiella sp. MAR2009132		#93B4AF
1392490	core	Sediminibacter sp. Hel_I_10	Sediminibacter sp. HelI10		#93B4AF
1392491	core	Ruminococcaceae bacterium AE2021	Ruminococcaceae bacterium AE2021		#93B4AF
1392493	periphery	Lachnospiraceae bacterium AC2031	Lachnospiraceae bacterium AC2031		#93B4AF
1392498	periphery	Maribacter forsetii DSM 18668	Maribacter forsetii		#93B4AF
1392501	core	Selenomonas ruminantium AC2024	Selenomonas ruminantium AC2024		#93B4AF
1392502	periphery	Selenomonas ruminantium AB3002	Selenomonas ruminantium AB3002		#93B4AF
1392540	periphery	Acinetobacter nectaris CIP 110549	Acinetobacter nectaris		#93B4AF
1392838	periphery	Bordetella hinzii ATCC 51730	Bordetella hinzii		#93B4AF
1394175	periphery	Bifidobacterium sp. 7101	Bifidobacterium sp. 7101		#93B4AF
1394176	periphery	Bifidobacterium sp. A11	Bifidobacterium sp. A11		#93B4AF
1394178	periphery	Actinomadura madurae LIID-AJ290	Actinomadura madurae		#93B4AF
1395513	core	Sporolactobacillus laevolacticus DSM 442	Sporolactobacillus laevolacticus		#93B4AF
1395516	periphery	Pseudomonas moraviensis R28-S	Pseudomonas moraviensis		#93B4AF
1395571	periphery	Pseudomonas taeanensis MS-3	Pseudomonas taeanensis		#93B4AF
1395587	periphery	Paenibacillus sp. MAEPY2	Paenibacillus sp. MAEPY2		#93B4AF
1396141	periphery	Haloferula sp. BvORR071	Haloferula sp. BvORR071		#93B4AF
1396418	periphery	Verrucomicrobium sp. BvORR034	Verrucomicrobium sp. BvORR034		#93B4AF
1396858	periphery	Marinobacter sp. ES-1	Marinobacter sp. ES1		#93B4AF
1397278	core	Leucobacter sp. PH1c	Leucobacter sp. PH1c		#93B4AF
1397284	periphery	Serratia sp. H1n	Serratia sp. H1n		#93B4AF
1397527	periphery	Alcanivorax sp. P2S70	Alcanivorax sp. P2S70		#93B4AF
1397528	periphery	Halomonas sp. PBN3	Halomonas sp. PBN3		#93B4AF
1397666	periphery	alpha proteobacterium RS24	alpha proteobacterium RS24		#93B4AF
1397693	periphery	Exiguobacterium undae DSM 14481	Exiguobacterium undae		#93B4AF
1397696	periphery	Exiguobacterium marinum DSM 16307	Exiguobacterium marinum		#93B4AF
1397699	periphery	Exiguobacterium oxidotolerans JCM 12280	Exiguobacterium oxidotolerans		#93B4AF
1398491	periphery	Borrelia valaisiana Tom4006	Borrelia valaisiana Tom4006		#93B4AF
1399115	core	Exiguobacterium sp. MH3	Exiguobacterium sp. MH3		#93B4AF
1399147	periphery	Holospora obtusa F1	Holospora obtusa		#93B4AF
1399774	periphery	Enterobacter cloacae JD6301	Enterobacter cloacae JD6301		#93B4AF
1400520	periphery	Lactobacillus fabifermentans T30PCM01	Lactobacillus fabifermentans		#93B4AF
1400524	periphery	Candidatus Pelagibacter ubique HTCC7214	Pelagibacter ubique HTCC7214		#93B4AF
1400525	periphery	Candidatus Pelagibacter ubique HTCC7217	Pelagibacter ubique HTCC7217		#93B4AF
1401064	periphery	Corynebacterium tuscaniense DNF00037	Corynebacterium tuscaniense		#93B4AF
1401065	periphery	Oligella urethralis DNF00040	Oligella urethralis		#93B4AF
1401067	periphery	Veillonella montpellierensis DNF00314	Veillonella montpellierensis		#93B4AF
1401078	core	Prevotella buccalis DNF00985	Prevotella buccalis DNF00985		#93B4AF
1401328	periphery	Candidatus Endolissoclinum faulkneri L5	Endolissoclinum faulkneri L5		#93B4AF
1402135	periphery	Sulfitobacter sp. H3	Sulfitobacter sp. H3		#93B4AF
1403313	periphery	Bacillus simplex BA2H3	Bacillus simplex		#93B4AF
1403819	periphery	Verrucomicrobium sp. BvORR106	Verrucomicrobium sp. BvORR106		#93B4AF
1403946	periphery	Streptococcus anginosus DORA_7	Streptococcus anginosus DORA7		#93B4AF
1403948	core	Varibaculum cambriense DORA_20	Varibaculum cambriense DORA20		#93B4AF
1404245	periphery	Corynebacterium glycinophilum AJ 3170	Corynebacterium glycinophilum		#93B4AF
1405296	periphery	Chlamydia suis MD56	Chlamydia suis		#93B4AF
1405498	periphery	Staphylococcus simulans UMC-CNS-990	Staphylococcus simulans		#93B4AF
1406840	periphery	Flavobacterium beibuense F44-8	Flavobacterium beibuense		#93B4AF
1407650	periphery	Synechococcus sp. NKBG15041c	Synechococcus sp. NKBG15041c		#93B4AF
1408164	periphery	Betaproteobacteria bacterium MOLA814	Betaproteobacteria bacterium MOLA814		#93B4AF
1408224	periphery	Sinorhizobium americanum CCGM7	Sinorhizobium americanum		#93B4AF
1408226	core	Vagococcus lutrae LBD1	Vagococcus lutrae		#93B4AF
1408254	periphery	Brevibacillus panacihumi W25	Brevibacillus panacihumi		#93B4AF
1408287	periphery	Fusobacterium nucleatum W1481	Fusobacterium nucleatum W1481		#93B4AF
1408303	periphery	Bacillus sp. MB2021	Bacillus sp. MB2021		#93B4AF
1408304	periphery	Butyrivibrio sp. FCS014	Butyrivibrio sp. FCS014		#93B4AF
1408306	periphery	Butyrivibrio sp. MC2021	Butyrivibrio sp. MC2021		#93B4AF
1408310	periphery	Prevotella sp. MA2016	Prevotella sp. MA2016		#93B4AF
1408311	periphery	Oribacterium sp. FC2011	Oribacterium sp. FC2011		#93B4AF
1408312	periphery	Pseudobutyrivibrio sp. LB2011	Pseudobutyrivibrio sp. LB2011		#93B4AF
1408321	periphery	Lachnospiraceae bacterium AC2028	Lachnospiraceae bacterium AC2028		#93B4AF
1408322	periphery	Lachnospiraceae bacterium AC3007	Lachnospiraceae bacterium AC3007		#93B4AF
1408323	periphery	Lachnospiraceae bacterium MA2020	Lachnospiraceae bacterium MA2020		#93B4AF
1408324	periphery	Lachnospiraceae bacterium MC2017	Lachnospiraceae bacterium MC2017		#93B4AF
1408415	periphery	Acholeplasma equifetale ATCC 29724	Acholeplasma equifetale		#93B4AF
1408416	periphery	Acholeplasma hippikon ATCC 29725	Acholeplasma hippikon		#93B4AF
1408417	periphery	Acholeplasma modicum ATCC 29102	Acholeplasma modicum		#93B4AF
1408418	periphery	Acidiphilium angustum ATCC 35903	Acidiphilium angustum		#93B4AF
1408419	periphery	Acidocella facilis ATCC 35904	Acidocella facilis		#93B4AF
1408422	periphery	Alkaliphilus transvaalensis ATCC 700919	Alkaliphilus transvaalensis		#93B4AF
1408423	core	Anaerovibrio lipolyticus LB2005	Anaerovibrio lipolyticus		#93B4AF
1408424	periphery	Bacillus bogoriensis ATCC BAA-922	Bacillus bogoriensis		#93B4AF
1408427	periphery	Bartonella elizabethae ATCC 49927	Bartonella elizabethae		#93B4AF
