## taxon_id	STRING_type	STRING_name_compact	official_name_NCBI
4513	core	Hordeum vulgare	Hordeum vulgare
4529	periphery	Oryza rufipogon	Oryza rufipogon
4530	core	Oryza sativa	Oryza sativa
4533	periphery	Oryza brachyantha	Oryza brachyantha
4536	periphery	Oryza nivara	Oryza nivara
4537	periphery	Oryza punctata	Oryza punctata
4538	periphery	Oryza glaberrima	Oryza glaberrima
4555	core	Setaria italica	Setaria italica
4558	periphery	Sorghum bicolor	Sorghum bicolor
4565	periphery	Triticum aestivum	Triticum aestivum
4572	periphery	Triticum urartu	Triticum urartu
4577	core	Zea mays	Zea mays
4641	core	Musa acuminata	Musa acuminata
4787	core	Phytophthora infestans	Phytophthora infestans
4792	periphery	Phytophthora parasitica	Phytophthora parasitica
4896	core	Schizosaccharomyces pombe	Schizosaccharomyces pombe
4897	periphery	Schizosaccharomyces japonicus	Schizosaccharomyces japonicus
4899	core	Schizosaccharomyces octosporus	Schizosaccharomyces octosporus
4909	periphery	Pichia kudriavzevii	Pichia kudriavzevii
4920	periphery	Millerozyma farinosa	Millerozyma farinosa
4922	core	Komagataella pastoris	Komagataella pastoris
4924	core	Scheffersomyces stipitis	Scheffersomyces stipitis
4929	periphery	Meyerozyma guilliermondii	Meyerozyma guilliermondii
4932	core	Saccharomyces cerevisiae	Saccharomyces cerevisiae
4950	core	Torulaspora delbrueckii	Torulaspora delbrueckii
4952	core	Yarrowia lipolytica	Yarrowia lipolytica
4956	core	Zygosaccharomyces rouxii	Zygosaccharomyces rouxii
4959	periphery	Debaryomyces hansenii	Debaryomyces hansenii
5011	core	Taphrina deformans	Taphrina deformans
5016	periphery	Bipolaris maydis	Bipolaris maydis
5017	periphery	Bipolaris zeicola	Bipolaris zeicola
5022	core	Leptosphaeria maculans	Leptosphaeria maculans
5037	periphery	Histoplasma capsulatum	Histoplasma capsulatum
5039	periphery	Blastomyces dermatitidis	Blastomyces dermatitidis
5057	periphery	Aspergillus clavatus	Aspergillus clavatus
5059	periphery	Aspergillus flavus	Aspergillus flavus
5061	core	Aspergillus niger	Aspergillus niger
5062	periphery	Aspergillus oryzae	Aspergillus oryzae
5111	periphery	Claviceps purpurea	Claviceps purpurea
5127	periphery	Fusarium fujikuroi	Fusarium fujikuroi
5141	core	Neurospora crassa	Neurospora crassa
5145	periphery	Podospora anserina	Podospora anserina
5147	periphery	Sordaria macrospora	Sordaria macrospora
5180	periphery	Sclerotinia sclerotiorum	Sclerotinia sclerotiorum
5207	periphery	Cryptococcus neoformans	Cryptococcus neoformans
5217	core	Tremella mesenterica	Tremella mesenterica
5270	core	Ustilago maydis	Ustilago maydis
5286	core	Rhodosporidium toruloides	Rhodosporidium toruloides
5297	core	Puccinia graminis	Puccinia graminis
5334	periphery	Schizophyllum commune	Schizophyllum commune
5341	core	Agaricus bisporus	Agaricus bisporus
5346	core	Coprinopsis cinerea	Coprinopsis cinerea
5465	periphery	Colletotrichum orbiculare	Colletotrichum orbiculare
5476	core	Candida albicans	Candida albicans
5478	core	Candida glabrata	Candida glabrata
5479	periphery	Candida maltosa	Candida maltosa
5480	periphery	Candida parapsilosis	Candida parapsilosis
5482	periphery	Candida tropicalis	Candida tropicalis
5501	periphery	Coccidioides immitis	Coccidioides immitis
5507	periphery	Fusarium oxysporum	Fusarium oxysporum
5518	core	Fusarium graminearum	Fusarium graminearum
5551	periphery	Trichophyton rubrum	Trichophyton rubrum
5664	core	Leishmania major	Leishmania major
5671	periphery	Leishmania infantum	Leishmania infantum
5679	core	Leishmania panamensis	Leishmania panamensis
5691	periphery	Trypanosoma brucei	Trypanosoma brucei
5693	core	Trypanosoma cruzi	Trypanosoma cruzi
5722	core	Trichomonas vaginalis	Trichomonas vaginalis
5741	core	Giardia intestinalis	Giardia intestinalis
5759	core	Entamoeba histolytica	Entamoeba histolytica
5762	core	Naegleria gruberi	Naegleria gruberi
5786	periphery	Dictyostelium purpureum	Dictyostelium purpureum
5808	core	Cryptosporidium muris	Cryptosporidium muris
5811	core	Toxoplasma gondii	Toxoplasma gondii
5821	periphery	Plasmodium berghei	Plasmodium berghei
5825	core	Plasmodium chabaudi	Plasmodium chabaudi
5827	periphery	Plasmodium cynomolgi	Plasmodium cynomolgi
5833	core	Plasmodium falciparum	Plasmodium falciparum
5850	periphery	Plasmodium knowlesi	Plasmodium knowlesi
5855	periphery	Plasmodium vivax	Plasmodium vivax
5860	periphery	Plasmodium vinckei	Plasmodium vinckei
5865	periphery	Babesia bovis	Babesia bovis
5872	core	Babesia equi	Babesia equi
5874	periphery	Theileria annulata	Theileria annulata
5875	periphery	Theileria parva	Theileria parva
5888	core	Paramecium tetraurelia	Paramecium tetraurelia
5911	periphery	Tetrahymena thermophila	Tetrahymena thermophila
5932	core	Ichthyophthirius multifiliis	Ichthyophthirius multifiliis
5970	periphery	Exophiala dermatitidis	Exophiala dermatitidis
6087	core	Hydra vulgaris	Hydra vulgaris
6183	core	Schistosoma mansoni	Schistosoma mansoni
6211	periphery	Echinococcus multilocularis	Echinococcus multilocularis
6238	periphery	Caenorhabditis briggsae	Caenorhabditis briggsae
6239	core	Caenorhabditis elegans	Caenorhabditis elegans
6326	core	Bursaphelenchus xylophilus	Bursaphelenchus xylophilus
6334	core	Trichinella spiralis	Trichinella spiralis
6412	core	Helobdella robusta	Helobdella robusta
6500	periphery	Aplysia californica	Aplysia californica
6669	core	Daphnia pulex	Daphnia pulex
7029	periphery	Acyrthosiphon pisum	Acyrthosiphon pisum
7070	core	Tribolium castaneum	Tribolium castaneum
7091	periphery	Bombyx mori	Bombyx mori
7159	periphery	Aedes aegypti	Aedes aegypti
7165	core	Anopheles gambiae	Anopheles gambiae
7176	core	Culex quinquefasciatus	Culex quinquefasciatus
7209	core	Loa loa	Loa loa
7213	periphery	Ceratitis capitata	Ceratitis capitata
7217	periphery	Drosophila ananassae	Drosophila ananassae
7220	periphery	Drosophila erecta	Drosophila erecta
7222	periphery	Drosophila grimshawi	Drosophila grimshawi
7227	core	Drosophila melanogaster	Drosophila melanogaster
7230	periphery	Drosophila mojavensis	Drosophila mojavensis
7234	periphery	Drosophila persimilis	Drosophila persimilis
7237	periphery	Drosophila pseudoobscura	Drosophila pseudoobscura
7244	periphery	Drosophila virilis	Drosophila virilis
7245	periphery	Drosophila yakuba	Drosophila yakuba
7260	periphery	Drosophila willistoni	Drosophila willistoni
7370	core	Musca domestica	Musca domestica
7425	core	Nasonia vitripennis	Nasonia vitripennis
7460	core	Apis mellifera	Apis mellifera
7668	core	Strongylocentrotus purpuratus	Strongylocentrotus purpuratus
7719	core	Ciona intestinalis	Ciona intestinalis
7739	core	Branchiostoma floridae	Branchiostoma floridae
7897	core	Latimeria chalumnae	Latimeria chalumnae
7918	core	Lepisosteus oculatus	Lepisosteus oculatus
7955	core	Danio rerio	Danio rerio
7994	periphery	Astyanax mexicanus	Astyanax mexicanus
8010	core	Esox lucius	Esox lucius
8049	core	Gadus morhua	Gadus morhua
8081	periphery	Poecilia reticulata	Poecilia reticulata
8083	periphery	Xiphophorus maculatus	Xiphophorus maculatus
8090	core	Oryzias latipes	Oryzias latipes
8128	core	Oreochromis niloticus	Oreochromis niloticus
8153	periphery	Haplochromis burtoni	Haplochromis burtoni
8364	core	Xenopus (Silurana) tropicalis	Xenopus tropicalis
8469	periphery	Chelonia mydas	Chelonia mydas
8479	core	Chrysemys picta	Chrysemys picta
8496	periphery	Alligator mississippiensis	Alligator mississippiensis
8932	periphery	Columba livia	Columba livia
9031	core	Gallus gallus	Gallus gallus
9258	core	Ornithorhynchus anatinus	Ornithorhynchus anatinus
9305	periphery	Sarcophilus harrisii	Sarcophilus harrisii
9315	periphery	Macropus eugenii	Macropus eugenii
9361	periphery	Dasypus novemcinctus	Dasypus novemcinctus
9365	periphery	Erinaceus europaeus	Erinaceus europaeus
9371	periphery	Echinops telfairi	Echinops telfairi
9402	periphery	Pteropus alecto	Pteropus alecto
9478	periphery	Tarsius syrichta	Tarsius syrichta
9483	periphery	Callithrix jacchus	Callithrix jacchus
9541	periphery	Macaca fascicularis	Macaca fascicularis
9544	periphery	Macaca mulatta	Macaca mulatta
9555	periphery	Papio anubis	Papio anubis
9593	periphery	Gorilla gorilla	Gorilla gorilla
9597	periphery	Pan paniscus	Pan paniscus
9598	periphery	Pan troglodytes	Pan troglodytes
9601	periphery	Pongo abelii	Pongo abelii
9606	core	Homo sapiens	Homo sapiens
9612	periphery	Canis lupus	Canis lupus
9646	periphery	Ailuropoda melanoleuca	Ailuropoda melanoleuca
9668	periphery	Mustela putorius	Mustela putorius
9685	periphery	Felis catus	Felis catus
9694	periphery	Panthera tigris	Panthera tigris
9707	periphery	Odobenus rosmarus	Odobenus rosmarus
9713	periphery	Leptonychotes weddellii	Leptonychotes weddellii
9733	periphery	Orcinus orca	Orcinus orca
9739	periphery	Tursiops truncatus	Tursiops truncatus
9767	periphery	Balaenoptera acutorostrata	Balaenoptera acutorostrata
9778	periphery	Trichechus manatus	Trichechus manatus
9785	core	Loxodonta africana	Loxodonta africana
9818	periphery	Orycteropus afer	Orycteropus afer
9823	periphery	Sus scrofa	Sus scrofa
9913	core	Bos taurus	Bos taurus
9940	core	Ovis aries	Ovis aries
9978	periphery	Ochotona princeps	Ochotona princeps
9986	core	Oryctolagus cuniculus	Oryctolagus cuniculus
10029	periphery	Cricetulus griseus	Cricetulus griseus
