11723	Simian immunodeficiency virus (isolate Mm142-83)	Simian immunodeficiency virus (SIV)	SIV
11757	Mouse mammary tumor virus (strain C3H)	Mouse mammary tumor virus (MMTV)	MMTV
11786	Moloney murine leukemia virus (isolate Shinnick)	Moloney murine leukemia virus (MoMLV)	MoMLV
118140	Porcine teschovirus 1 (isolate Pig/United Kingdom/F65/1967)	Porcine teschovirus 1 (Tescho)	Tescho
11886	Avian leukosis virus RSA	Avian leukosis virus RSA (RSV-SRA)	RSV-SRA
11976	Rabbit hemorrhagic disease virus (strain Rabbit/Germany/FRG/1989)	Rabbit hemorrhagic disease virus (RHDV-FRG)	RHDV-FRG
11978	Feline calicivirus (strain Cat/United States/Urbana/1960)	Feline calicivirus (FCV)	FCV
11983	Norwalk virus (strain GI/Human/United States/Norwalk/1968)	Norwalk virus	Norwalk
12040	Barley yellow dwarf virus (isolate PAV)	Barley yellow dwarf virus (BYDV)	BYDV
12045	Potato leafroll virus (strain Potato/Scotland/strain 1/1984)	Potato leafroll virus (PLrV)	PLrV
12092	Human hepatitis A virus genotype IB (isolate HM175)	Human hepatitis A virus (HAV)	HAV
12104	Encephalomyocarditis virus (strain Rueckert)	Encephalomyocarditis virus (EMCV)	EMCV
12110	Foot-and-mouth disease virus (isolate Swine/Taiwan/OTai/1997 serotype O)	Foot-and-mouth disease virus (FMDV)	FMDV
12138	Maize chlorotic mottle virus (isolate United States/Kansas/1987)	Maize chlorotic mottle virus (MCMV)	MCMV
12139	Southern bean mosaic virus (isolate Bean/United States/Arkansas)	Southern bean mosaic virus (SBMV)	SBMV
12145	Tomato bushy stunt virus (strain Cherry)	Tomato bushy stunt virus (TBSV)	TBSV
12161	Beet yellows virus (isolate Ukraine)	Beet yellows virus (BYV)	BYV
12167	Potato virus M (strain Russian)	Potato virus M (PVM)	PVM
12183	Potato virus X (strain X3)	Potato virus X (PVX)	PVX
1218488	Torque teno sus virus k2 (isolate Pig/New Zealand/38E05/2007)	Torque teno sus virus k2 (TTSuVk2)	TTSuVk2
12216	Potato virus Y (strain N)	Potato virus Y (PVY)	PVY
12242	Tobacco mosaic virus (strain vulgare)	Tobacco mosaic virus (TMV)	TMV
12264	Cowpea mosaic virus (strain SB)	Cowpea mosaic virus (CPMV)	CPMV
12280	Tomato ringspot virus (isolate raspberry)	Tomato ringspot virus (ToRSV)	ToRSV
12288	Nodamura virus (strain Mag115)	Nodamura virus	Nodamura virus
12302	Brome mosaic virus	Brome mosaic virus (BMV)	BMV
12305	Cucumber mosaic virus (strain FNY)	Cucumber mosaic virus (CMV)	CMV
12317	Tobacco streak virus (strain WC)	Tobacco streak virus (TSV)	TSV
12321	Alfalfa mosaic virus (strain 425 / isolate Leiden)	Alfalfa mosaic virus	Alfalfa mosaic
12327	Barley stripe mosaic virus	Barley stripe mosaic virus (BSMV)	BSMV
12331	Rice stripe virus (isolate T)	Rice stripe virus (RSV)	RSV
12355	Enterobacteria phage T1	Enterobacteria phage T1 (T1)	T1
1239437	Turkey astrovirus 1	Turkey astrovirus 1 (TAstV-1)	TAstV-1
1239565	Human astrovirus-1	Human astrovirus-1 (HAstV-1)	HAstV-1
12455	Borna disease virus (strain V)	Borna disease virus (BDV)	BDV
12461	Hepatitis E virus genotype 1 (isolate Human/China/HeBei/1987)	Hepatitis E virus (HEV)	HEV
12465	Barley yellow mosaic virus (isolate China/Yancheng/1998)	Barley yellow mosaic virus (BaYMV)	BaYMV
12475	Hepatitis delta virus genotype I (isolate D380)	Hepatitis delta virus (HDV)	HDV
12538	Mokola virus (MOKV)	Mokola virus (MOKV)	MOKV
12618	Chicken anemia virus (isolate Germany Cuxhaven-1)	Chicken anemia virus (CAV)	CAV
12657	Equine herpesvirus 2 (strain 86/87)	Equine herpesvirus 2 (EHV-2)	EHV-2
12777	Parsnip yellow fleck virus (isolate P-121)	Parsnip yellow fleck virus (PYFV)	PYFV
1285595	Musca hytrovirus(isolate Musca domestica/United States/Boucias/-)	Musca hytrovirus (MHV)	MHV
1285600	Nile crocodilepox virus (isolate Crocodylus niloticus/Zimbabwe/Ume/2001)	Nile crocodilepox virus (CRV)	CRV
1297662	Thrush coronavirus HKU12 (isolate Grey-backed thrush/Hong Kong/HKU12-600/2007)	Thrush coronavirus(ThCoV)	ThCoV-HKU12
129951	Human adenovirus C serotype 2	Human adenovirus C (HAdV-C)	HAdV-C
1330524	Salivirus A (isolate Human/Nigeria/NG-J1/2007)	Salivirus A (SV-A)	SV-A
1335626	Human coronavirus EMC (isolate United Kingdom/H123990006/2012)	Human coronavirus EMC (HCoV-EMC)	HCoV-EMC
133704	Porcine circovirus 1 (isolate China)	Porcine circovirus 1 (PCV1)	PCV1
137556	Maize necrotic streak virus	Maize necrotic streak virus (MNeSV)	MNeSV
138950	Poliovirus type 1 (strain Mahoney)	Poliovirus type 1	Polio
147711	Human rhinovirus A serotype 89 (strain 41467-Gallo)	Human rhinovirus A (HRV-89)	HRV-89
1511779	Mischivirus A (isolate Miniopterus schreibersii/China/MsPV-1/2010)	Mischivirus A (MscPV1)	MscPV1
1511862	Aleutian mink disease parvovirus (strain G)	Aleutian mink disease parvovirus (ADV)	ADV
1511865	Galliform aveparvovirus 1 (isolate Chicken/Hungary/ABU-P1/-/-)	Galliform aveparvovirus 1 (ChPV)	ChPV
1511873	Bovine parvovirus (isolate pAT153/1986)	Bovine parvovirus (BPV)	BPV
1511891	Adeno-associated virus 2 (isolate Srivastava/1982)	Adeno-associated virus 2 (AAV-2)	AAV-2
1511900	Human parvovirus B19 (strain HV)	Human parvovirus B19 (HPV B19)	HPV B19
1511908	Murine minute virus (strain MVM prototype)	Murine minute virus (MMV)	MMV
1513235	Cafeteria roenbergensis virus (strain BV-PW1)	Cafeteria roenbergensis virus (CroV)	CroV
162145	Human metapneumovirus (strain CAN97-83)	Human metapneumovirus (HMPV)	HMPV
176652	Invertebrate iridescent virus 6 (IIV-6)	Invertebrate iridescent virus 6	Chilo iridescent virus
180170	Infectious spleen and kidney necrosis virus (isolate Mandarin fish/China/Nanhai/1998)	Infectious spleen and kidney necrosis virus (ISKNV)	ISKNV
181082	Emiliania huxleyi virus 86 (isolate United Kingdom/English Channel/1999)	Emiliania huxleyi virus 86 (EhV-86)	EhV-86
186538	Zaire ebolavirus (strain Mayinga-76)	Zaire ebolavirus	Ebola
190061	Fowl adenovirus A serotype 1 (strain CELO / Phelps)	Fowl adenovirus A type 1 (FAdV-1)	FAdV-1
194440	Human T-cell leukemia virus 1 (isolate Caribbea HS-35 subtype A)	Human T-cell leukemia virus 1 (HTLV-1)	HTLV-1
194441	Human T-cell leukemia virus 2	Human T-cell leukemia virus 2 (HTLV-2)	HTLV-2
194443	Human T-cell leukemia virus 3 (strain 2026ND)	Human T-cell leukemia virus 3 (HTLV-3)	HTLV-3
194699	Bordetella phage BPP-1	Bordetella phage BPP-1 (BPP-1)	BPP-1
195054	Human parechovirus 2 (strain Williamson)	Human parechovirus 2 (HPeV-2)	HPeV-2
202566	Cherry rasp leaf virus (isolate Potato/United States	Cherry rasp leaf virus (CRLV)	CRLV
212035	Acanthamoeba polyphaga mimivirus	Acanthamoeba polyphaga mimivirus (APMV)	APMV
220340	Bean golden yellow mosaic virus (isolate Puerto Rico-Japan)	Bean golden yellow mosaic virus (BGYMV)	BGYMV
264729	Burkholderia phage BcepMu (isolate -/United States/Summer/2002)	Burkholderia phage BcepMu (BcepMu)	BcepMu
279896	Maize mosaic virus (isolate Maize/United States/Reed/2005)	Maize mosaic virus (MMV)	MMV
28289	Cydia pomonella granulosis virus (isolate Mexico/1963)	Cydia pomonella granulosis virus (CpGV)	CpGV
28321	Amsacta moorei entomopoxvirus	Amsacta moorei entomopoxvirus (AmEPV)	AmEPV
28355	Peanut clump virus (isolate 87/TGTA2)	Peanut clump virus (PCV)	PCV
28375	Soil-borne wheat mosaic virus (strain United States/Nebraska/1981)	Soil-borne wheat mosaic virus (SBWMV)	SBWMV
28875	Rotavirus A (isolate Monkey/South Africa/SA11-H96/1958 G3-P5B[2]-I2-R2-C5-M5-A5-N5-T5-E2-H5) (RV-A)	Rotavirus A	Rotavirus
305674	Deerpox virus (strain Mule deer/United States/W-848-83/1983)	Deerpox virus (DPV)	DPV
307456	Rachiplusia ou multiple nucleopolyhedrovirus (strain R1)	Rachiplusia ou multiple nucleopolyhedrovirus (RoMNPV)	RoMNPV
312185	Equine rhinitis B virus 1 (strain Equine/Switzerland/P1436/71/1971)	Equine rhinitis B virus 1 (ERBV-1)	ERBV-1
